City,Country,Lat,Lon,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
tsihombe,mg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
glace bay,ca,46.1969,-59.957,43.79,91,75,6.91,broken clouds
saint-pierre,pm,-21.3393,55.4781,73.04,68,0,3.44,clear sky
geraldton,au,-28.7667,114.6,61.21,77,40,19.57,scattered clouds
sibolga,id,1.7427,98.7792,75.04,85,65,2.95,broken clouds
padang,id,-0.9492,100.3543,77.05,83,99,4.36,overcast clouds
phun phin,th,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ishigaki,jp,24.3448,124.1572,68.13,73,75,14.97,broken clouds
hirara,jp,24.8,125.2833,67.86,77,75,13.8,broken clouds
hoquiam,us,46.9809,-123.8893,53.02,54,1,11.5,clear sky
astoria,us,46.1879,-123.8313,53.98,72,1,5.01,clear sky
lae,pg,-6.7221,146.9847,88.47,55,13,2.82,few clouds
finschhafen,pg,-6.6024,147.8681,85.96,64,14,8.93,few clouds
bealanana,mg,-14.55,48.7333,64.67,96,66,2.48,broken clouds
andapa,mg,-14.65,49.65,67.33,98,47,1.88,scattered clouds
genhe,cn,50.7833,121.5167,15.08,69,0,3.42,clear sky
tahe,cn,52.3333,124.7333,13.87,69,40,2.24,scattered clouds
kaupanger,no,61.1845,7.2404,40.1,97,100,3.89,light rain
ovre ardal,no,61.3167,7.8,35.02,97,100,6.49,light rain
lata,sb,40.1629,-8.3327,55.81,84,40,3.76,scattered clouds
krivosheino,ru,57.3431,83.9261,32.92,89,100,8.72,overcast clouds
krasnyy yar,ru,46.5331,48.3456,46.33,93,99,8.39,overcast clouds
anadyr,ru,64.75,177.4833,28.9,80,40,15.66,scattered clouds
magdagachi,ru,53.45,125.8,13.77,68,13,4.74,few clouds
zeya,ru,53.75,127.2667,15.33,80,35,2.91,scattered clouds
kokoda,pg,-8.8785,147.7407,88.2,55,44,5.7,scattered clouds
popondetta,pg,-8.7537,148.2534,91.38,46,9,3.58,clear sky
iwanai,jp,42.9744,140.5089,57.42,77,100,12.01,overcast clouds
vao,nc,-22.6667,167.4833,73.44,72,37,9.06,scattered clouds
noumea,nc,-22.2763,166.4572,85.98,99,51,8.59,broken clouds
antsohihy,mg,-14.8796,47.9875,78.4,79,57,2.84,broken clouds
maroantsetra,mg,-15.4333,49.7333,75.07,90,68,1.66,light rain
rayong,th,12.8333,101.4333,77.77,99,78,4.65,broken clouds
trat,th,12.5,102.5,82.98,92,94,11.18,light rain
broadstairs,gb,51.3591,1.4394,53.22,86,39,1.01,scattered clouds
blankenberge,be,51.3131,3.1323,46.35,86,34,9.93,scattered clouds
pyaozerskiy,ru,65.8333,31.1667,20.19,91,16,3.98,few clouds
loukhi,ru,66.0764,33.0381,19.4,95,9,3.8,clear sky
zhanatas,kz,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lebu,cl,-37.6167,-73.65,53.13,92,17,15.68,few clouds
marinette,us,45.1,-87.6307,55.89,58,1,5.75,clear sky
escanaba,us,45.7453,-87.0646,57.16,41,1,9.22,clear sky
macaubas,br,-13.0194,-42.6986,69.44,88,91,1.32,overcast clouds
livramento,br,-3.0254,-60.1803,79.48,89,75,4.61,broken clouds
husavik,is,66.0449,-17.3389,35.51,80,27,14.34,scattered clouds
villarrica,cl,-25.75,-56.4333,73.22,67,91,1.59,overcast clouds
bonavista,ca,48.6499,-53.1147,45.12,84,36,12.08,scattered clouds
natal,br,-5.795,-35.2094,81.25,78,20,9.22,few clouds
nisia floresta,br,-6.0911,-35.2086,81.41,74,24,11.07,few clouds
dawson creek,ca,55.7666,-120.2362,31.64,74,1,5.75,clear sky
beaverlodge,ca,55.2166,-119.4361,25.95,47,63,5.12,broken clouds
iqaluit,ca,63.7506,-68.5145,6.53,71,1,3,clear sky
ndola,zm,-12.9587,28.6366,71.46,32,77,3.65,broken clouds
serenje,zm,-13.2325,30.2352,66.31,35,25,3.27,scattered clouds
mackay,au,-21.15,149.2,84.18,74,40,13.8,scattered clouds
yeppoon,au,-23.1333,150.7333,80.38,78,86,8.23,overcast clouds
komsomolskiy,ru,40.4272,71.7189,36.82,64,75,2.3,haze
iquique,cl,-20.2208,-70.1431,62.64,75,58,2.55,broken clouds
challapata,bo,-18.9,-66.7667,57.78,14,34,5.7,scattered clouds
amderma,ru,NaN,NaN,NaN,NaN,NaN,NaN,NaN
caravelas,br,-17.7125,-39.2481,74.98,86,73,5.61,broken clouds
kiama,au,-34.6833,150.8667,71.26,71,92,4.29,overcast clouds
hastings,us,50.8552,0.5729,55.9,85,70,9.33,broken clouds
columbus,us,39.9612,-82.9988,61.32,56,20,5.75,few clouds
georgetown,sh,5.4112,100.3354,80.53,88,20,2.3,few clouds
the valley,ai,18.217,-63.0578,81.1,69,7,9.37,clear sky
kawambwa,zm,-9.7915,29.0791,67.55,53,81,3.36,broken clouds
mporokoso,zm,-9.3727,30.125,67.03,49,52,2.37,broken clouds
sao filipe,cv,14.8961,-24.4956,77.07,74,100,5.88,overcast clouds
gunjur,gm,13.2019,-16.7339,77.07,88,0,5.75,clear sky
fenyi,cn,27.8112,114.6681,44.96,61,11,0.63,light rain
jian,cn,27.1172,114.9793,46.22,55,33,2.91,light rain
touros,br,-5.1989,-35.4608,81.5,72,7,17.07,clear sky
champerico,gt,14.3,-91.9167,83.35,76,24,5.97,few clouds
feijo,br,-8.1642,-70.3536,75.92,82,90,1.74,overcast clouds
manoel urbano,br,-8.8389,-69.2597,74.75,83,100,1.41,overcast clouds
petatlan,mx,17.5167,-101.2667,79.12,87,58,2.46,broken clouds
vanimo,pg,-2.6741,141.3028,85.12,69,62,8.08,broken clouds
mugur-aksy,ru,50.35,90.5,11.07,60,4,5.46,clear sky
sicamous,ca,50.8331,-118.9856,43.29,77,78,3.71,broken clouds
revelstoke,ca,50.9832,-118.2023,39.22,87,90,4.61,overcast clouds
garm,tj,NaN,NaN,NaN,NaN,NaN,NaN,NaN
usinsk,ru,65.9939,57.5281,19.99,95,98,9.08,light snow
vytegra,ru,61.0064,36.4481,29.34,68,44,10.56,scattered clouds
